ID	AlternateID	Annotation
gene_17		product_name=hypothetical protein
gene_19		product_name=hypothetical protein
gene_27		product_name=hypothetical protein
gene_29		product_name=hypothetical protein
gene_33		product_name=hypothetical protein
gene_34		product_name=Uncharacterized protein conserved in bacteria (DUF2236)-domain containing protein
gene_42		product_name=putative 3-hydroxyisobutyrate dehydrogenase
gene_43		product_name=putative allantoate permease
gene_44		product_name=putative 3-hydroxyisobutyrate dehydrogenase
gene_46		product_name=putative 5-oxoprolinase
gene_47		product_name=hypothetical protein
gene_48		product_name=hypothetical protein
gene_54		product_name=dehydrogenase with different specificitie
gene_55		product_name=putative salicylate hydroxylase
gene_56		product_name=hypothetical protein
gene_57		product_name=putative zinc-iron transporter
gene_58		product_name=hypothetical protein
gene_61		product_name=putative amino acid transporter
gene_66		product_name=putative sarcosine oxidase
gene_68		product_name=hypothetical protein
gene_69		product_name=hypothetical protein
gene_73		product_name=Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase
gene_75		product_name=putative mitochondrial solute carrier
gene_76		product_name=hypothetical protein
gene_77		product_name=hypothetical protein
gene_80		product_name=putative monooxygenase
gene_81		product_name=hypothetical protein
gene_87		product_name=hypothetical protein
gene_89		product_name=Protein of unknown function (DUF3431)-domain containing protein
gene_91		product_name=hypothetical protein
gene_92		product_name=putative amino acid transporter
gene_94		product_name=putative monooxygenase
gene_97		product_name=putative arabinosidase
gene_13820		product_name=hypothetical protein
gene_99		product_name=hypothetical protein
gene_100		product_name=hypothetical protein
gene_104		product_name=putative SAM domain methyltransferase
gene_105		product_name=zinc/cadmium resistance protein
gene_106		product_name=putative manganese ion homeostasis
gene_107		product_name=putative MFS monosaccharide transporter
gene_108		product_name=putative ab-hydrolase associated lipase
gene_110		product_name=putative oxalate decarboxylase
gene_112		product_name=hypothetical protein
gene_114		product_name=hypothetical protein
gene_116		product_name=Protein of unknown function (DUF2458)-domain containing protein
gene_117		product_name=Cytochrome oxidase c assembly-domain containing protein
gene_118		product_name=3-deoxy-D-arabino-heptulosonate 7-phosphate synthase
gene_119		product_name=hypothetical protein
gene_120		product_name=hypothetical protein
gene_121		product_name=putative 3-ketoacyl-CoA thiolase
gene_123		product_name=Rtf2 RING-finger-domain containing protein
gene_131		product_name=putative oxidoreductase
gene_132		product_name=Pam16-domain containing protein
gene_135		product_name=putative copper amine oxidase
gene_136		product_name=cyclopropane fatty acid synthase
gene_138		product_name=putative tropomyosin
gene_139		product_name=putative protein required for cell viability Rrp17
gene_140		product_name=BIG/ATPase V1 complex%2C subunit S1
gene_141		product_name=hypothetical protein
gene_143		product_name=putative E3 ubiquitin ligase
gene_145		product_name=putative small nuclear ribonucleo protein
gene_149		product_name=putative ubiquitin regulatory protein
gene_151		product_name=putative cytochrome P450
gene_152		product_name=SGNH hydrolase-type esterase domain-containing protein
gene_153		product_name=hypothetical protein
gene_154		product_name=putative Ste20-like serine/threonine protein kinase
gene_156		product_name=Enolase C-terminal domain-like protein
gene_158		product_name=amidohydrolase family protein
gene_159		product_name=putative alcohol dehydrogenase
gene_161		product_name=hypothetical protein
gene_164		product_name=putative mitochondrial ribosomal protein DAP3
gene_169		product_name=hypothetical protein
gene_170		product_name=DNA mismatch repair protein Msh3
gene_176		product_name=hypothetical protein
gene_177		product_name=hypothetical protein
gene_182		product_name=putative C6 transcription factor RegA
gene_183		product_name=putative short chain dehydrogenase
gene_184		product_name=hypothetical protein
gene_189		product_name=Ulp1 protease family protein
gene_194		product_name=putative cyclin-dependent protein kinase complex component
gene_195		product_name=putative proteasome component Pre3
gene_196		product_name=BEM46 family protein
gene_197		product_name=putative F1F0 ATP synthase assembly protein Atp11
gene_200		product_name=sulfhydryl oxidase
gene_203		product_name=putative transporter
gene_204		product_name=putative alpha-1%2C2-mannosidase
gene_208		product_name=hypothetical protein
gene_209		product_name=hypothetical protein
gene_210		product_name=G protein-coupled glucose receptor regulating Gpa2-domain containing protein
gene_212		product_name=putative cytochrome P450
gene_220		product_name=hypothetical protein
gene_221		product_name=putative polygalacturonase precursor
gene_223		product_name=putative sugar transporter
gene_226		product_name=hypothetical protein
gene_227		product_name=EthD domain-domain containing protein
gene_228		product_name=putative CDK4/6
gene_230		product_name=putative streptomycin 3''-adenylyltransferase
gene_231		product_name=hypothetical protein
gene_232		product_name=putative salicylate hydroxylase
gene_233		product_name=Protein of unknown function (DUF4246)-domain containing protein
gene_236		product_name=putative dihydrodipicolinate synthase
gene_244		product_name=hypothetical protein
gene_249		product_name=Mannosyltransferase putative-domain containing protein
gene_255		product_name=hypothetical protein
gene_257		product_name=putative MFS transporter
gene_263		product_name=hypothetical protein
gene_264		product_name=hypothetical protein
gene_267		product_name=putative 3%2C2-trans-enoyl-CoA isomerase
gene_269		product_name=hypothetical protein
gene_273		product_name=Thioredoxin-like fold
gene_274		product_name=hypothetical protein
gene_278		product_name=hypothetical protein
gene_283		product_name=hypothetical protein
gene_287		product_name=hypothetical protein
gene_288		product_name=hypothetical protein
gene_292		product_name=hypothetical protein
gene_297		product_name=8-oxoguanine DNA glycosylase
gene_298		product_name=hypothetical protein
gene_299		product_name=hypothetical protein
gene_300		product_name=hypothetical protein
gene_301		product_name=Ribosomal S13/S15 N-terminal domain-domain containing protein
gene_302		product_name=VRR-NUC domain-domain containing protein
gene_309		product_name=hypothetical protein
gene_310		product_name=hypothetical protein
gene_311		product_name=aspartate/glutamate carrier protein Aralar/Citrin
gene_312		product_name=hypothetical protein
gene_314		product_name=putative esterase
gene_317		product_name=putative MFS transporter
gene_319		product_name=Domain of unknown function (DUF3328)-domain containing protein
gene_326		product_name=fumarylacetoacetate hydrolase family protein
gene_330		product_name=gentisate 1%2C2-dioxygenase
gene_333		product_name=hypothetical protein
gene_334		product_name=YhhN-like protein
gene_343		product_name=UMTA methyltransferase family protein
gene_348		product_name=hypothetical protein
gene_352		product_name=hypothetical protein
gene_354		product_name=hypothetical protein
gene_355		product_name=hypothetical protein
gene_360		product_name=Pectin lyase fold/virulence factor
gene_361		product_name=hypothetical protein
gene_362		product_name=hypothetical protein
gene_364		product_name=hypothetical protein
gene_368		product_name=Metal-dependent hydrolase%2C composite domain-containing protein
gene_374		product_name=putative short chain type dehydrogenase
gene_379		product_name=dienelactone hydrolase family protein
gene_381		product_name=hypothetical protein
gene_383		product_name=integral membrane protein
gene_386		product_name=putative methyltransferase
gene_388		product_name=chitin synthase
gene_389		product_name=hypothetical protein
gene_391		product_name=hypothetical protein
gene_393		product_name=hypothetical protein
gene_394		product_name=hypothetical protein
gene_402		product_name=hypothetical protein
gene_407		product_name=hypothetical protein
gene_414		product_name=putative mitochondrial carrier protein
gene_420		product_name=hypothetical protein
gene_423		product_name=hypothetical protein
gene_429		product_name=hypothetical protein
gene_431		product_name=putative glutamate-1-semialdehyde 2%2C1-aminomutase
gene_438		product_name=hypothetical protein
gene_442		product_name=hypothetical protein
gene_451		product_name=putative SUN domain protein
gene_453		product_name=putative electron transfer flavo protein alpha subunit
gene_457		product_name=hypothetical protein
gene_458		product_name=DNA or RNA helicase of superfamily II
gene_463		product_name=hypothetical protein
gene_466		product_name=ATPase component of ABC transporter
gene_467		product_name=TPR domain protein
gene_468		product_name=hypothetical protein
gene_470		product_name=putative phospholipase PldA
gene_473		product_name=guanine nucleotide exchange factor
gene_477		product_name=malate dehydrogenase%2C NAD-dependent
gene_479		product_name=hypothetical protein
gene_480		product_name=HbrB-like-domain containing protein
gene_481		product_name=Gon7 family-domain containing protein
gene_482		product_name=putative vacuolar morphogenesis protein AvaB
gene_487		product_name=hypothetical protein
gene_488		product_name=putative glucose oxidase
gene_495		product_name=fatty acid desaturase
gene_496		product_name=thimet oligopeptidase
gene_497		product_name=hypothetical protein
gene_502		product_name=putative small nuclear ribonucleo protein SmE
gene_505		product_name=hypothetical protein
gene_507		product_name=alpha-ketoglutarate-dependent taurine dioxygenase
gene_508		product_name=hypothetical protein
gene_509		product_name=putative integral membrane protein
gene_511		product_name=Pectate lyase
gene_515		product_name=putative glycosyl hydrolase
gene_521		product_name=putative amine oxidase
gene_524		product_name=FAD dependent oxidoreductase
gene_525		product_name=Alpha/Beta hydrolase fold
gene_527		product_name=hypothetical protein
gene_528		product_name=Acyl-CoA N-acyltransferase
gene_530		product_name=hypothetical protein
gene_531		product_name=putative oxidoreductase
gene_532		product_name=flavin oxidoreductase/12-oxophytodienoate reductase
gene_533		product_name=putative acyl-CoA dehydrogenase
gene_534		product_name=UMTA methyltransferase family protein
gene_535		product_name=putative sugar transporter
gene_536		product_name=hypothetical protein
gene_538		product_name=thioesterase family protein
